eeschema (2013-04-19 BZR 4011)-stable  >> Creation date: 3/8/2015 7:56:23 PM
#Cmp ( order = Reference )
| 4_40_HOLE    MNT2      ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 4_40_HOLE    MNT3      ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 4_40_HOLE    MNT4      ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_30      P1        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P2        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P3        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_30      P4        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_2       P5        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_2       P6        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_2       P7        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_2       P8        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 47           R4        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 47           R7        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R5        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R6        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10K          R2        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 1M           R3        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| zero         R1        DNP ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| RESET        SW1       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| SPDT         SW2       ; ~           ; 103-12100-EV;             ;             ;             ;             ;             ;             ;             
| BOOTLOADER   SW3       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| USBLC6-2     U1        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| OKI-78SR-3.3/1.5-W36H-C U2        ; ~           ; LM3940IT-3.3/NOPB, OKI-78SR-3.3/1.5-W36H-C, R-783.3-0.5, P7805-Q24-S3-S, R-783.3-1.0, V7803-1000R;             ;             ;             ;             ;             ;             ;             
| 32.768kHz, 12.5pF X1        ; ~           ; AB26TRB-32.768KHZ-T;             ;             ;             ;             ;             ;             ;             
| LED          LED_D5    ; ~           ; LB Q39G-L2N2-35-1;             ;             ;             ;             ;             ;             ;             
| LOGO         Z1        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED          LED_5V1   ; ~           ; LB Q39G-L2N2-35-1;             ;             ;             ;             ;             ;             ;             
#End Cmp

#End List
